year,square km,state
2019,21.00,TO
2019,617.00,RR
2019,1245.00,RO
2019,3862.00,PA
2019,1685.00,MT
2019,215.00,MA
2019,8.00,AP
2019,1421.00,AM
2019,688.00,AC
2018,25.00,TO
2018,195.00,RR
2018,1316.00,RO
2018,2744.00,PA
2018,1490.00,MT
2018,253.00,MA
2018,24.00,AP
2018,1045.00,AM
2018,444.00,AC
2017,31.00,TO
2017,132.00,RR
2017,1243.00,RO
2017,2433.00,PA
2017,1561.00,MT
2017,265.00,MA
2017,24.00,AP
2017,1001.00,AM
2017,257.00,AC
2016,2992.00,PA
2016,202.00,RR
2016,1376.00,RO
2016,58.00,TO
2016,1489.00,MT
2016,258.00,MA
2016,17.00,AP
2016,1129.00,AM
2016,372.00,AC
2015,1601.00,MT
2015,156.00,RR
2015,1030.00,RO
2015,2153.00,PA
2015,57.00,TO
2015,209.00,MA
2015,25.00,AP
2015,712.00,AM
2015,264.00,AC
2014,50.00,TO
2014,219.00,RR
2014,684.00,RO
2014,1887.00,PA
2014,1075.00,MT
2014,309.00,AC
2014,31.00,AP
2014,500.00,AM
2014,257.00,MA
2013,74.00,TO
2013,170.00,RR
2013,932.00,RO
2013,2346.00,PA
2013,1139.00,MT
2013,403.00,MA
2013,221.00,AC
2013,583.00,AM
2013,23.00,AP
2012,52.00,TO
2012,124.00,RR
2012,773.00,RO
2012,1741.00,PA
2012,757.00,MT
2012,269.00,MA
2012,27.00,AP
2012,523.00,AM
2012,305.00,AC
2011,40.00,TO
2011,141.00,RR
2011,865.00,RO
2011,3008.00,PA
2011,1120.00,MT
2011,396.00,MA
2011,66.00,AP
2011,502.00,AM
2011,280.00,AC
2010,49.00,TO
2010,256.00,RR
2010,435.00,RO
2010,3770.00,PA
2010,871.00,MT
2010,712.00,MA
2010,53.00,AP
2010,595.00,AM
2010,259.00,AC
2009,70.00,AP
2009,121.00,RR
2009,482.00,RO
2009,4281.00,PA
2009,1049.00,MT
2009,828.00,MA
2009,61.00,TO
2009,405.00,AM
2009,167.00,AC
2008,3258.00,MT
2008,574.00,RR
2008,1136.00,RO
2008,5607.00,PA
2008,107.00,TO
2008,1271.00,MA
2008,100.00,AP
2008,604.00,AM
2008,254.00,AC
2007,63.00,TO
2007,309.00,RR
2007,1611.00,RO
2007,5526.00,PA
2007,2678.00,MT
2007,184.00,AC
2007,39.00,AP
2007,610.00,AM
2007,631.00,MA
2006,124.00,TO
2006,231.00,RR
2006,2049.00,RO
2006,5659.00,PA
2006,4333.00,MT
2006,674.00,MA
2006,30.00,AP
2006,788.00,AM
2006,398.00,AC
2005,133.00,RR
2005,271.00,TO
2005,3244.00,RO
2005,5899.00,PA
2005,7145.00,MT
2005,922.00,MA
2005,33.00,AP
2005,775.00,AM
2005,592.00,AC
2004,11814.00,MT
2004,311.00,RR
2004,3858.00,RO
2004,8870.00,PA
2004,158.00,TO
2004,755.00,MA
2004,46.00,AP
2004,1232.00,AM
2004,728.00,AC
2003,156.00,TO
2003,439.00,RR
2003,3597.00,RO
2003,7145.00,PA
2003,10405.00,MT
2003,1078.00,AC
2003,25.00,AP
2003,1558.00,AM
2003,993.00,MA
2002,212.00,TO
2002,84.00,RR
2002,3099.00,RO
2002,7510.00,PA
2002,7892.00,MT
2002,1085.00,MA
2002,0.00,AP
2002,885.00,AM
2002,883.00,AC
2001,189.00,TO
2001,345.00,RR
2001,2673.00,RO
2001,5237.00,PA
2001,7703.00,MT
2001,958.00,MA
2001,7.00,AP
2001,634.00,AM
2001,419.00,AC
2000,6671.00,PA
2000,253.00,RR
2000,2465.00,RO
2000,244.00,TO
2000,6369.00,MT
2000,1065.00,MA
2000,0.00,AP
2000,612.00,AM
2000,547.00,AC
1999,216.00,TO
1999,220.00,RR
1999,2358.00,RO
1999,5111.00,PA
1999,441.00,AC
1999,1230.00,MA
1999,0.00,AP
1999,720.00,AM
1999,6963.00,MT
1998,576.00,TO
1998,223.00,RR
1998,2041.00,RO
1998,536.00,AC
1998,6466.00,MT
1998,1012.00,MA
1998,30.00,AP
1998,670.00,AM
1998,5829.00,PA
1997,273.00,TO
1997,184.00,RR
1997,1986.00,RO
1997,4139.00,PA
1997,5271.00,MT
1997,409.00,MA
1997,18.00,AP
1997,589.00,AM
1997,358.00,AC
1996,320.00,TO
1996,214.00,RR
1996,2432.00,RO
1996,6135.00,PA
1996,6543.00,MT
1996,1061.00,MA
1996,0.00,AP
1996,1023.00,AM
1996,433.00,AC
1995,797.00,TO
1995,220.00,RR
1995,4730.00,RO
1995,7845.00,PA
1995,10391.00,MT
1995,1745.00,MA
1995,9.00,AP
1995,2114.00,AM
1995,1208.00,AC
1994,4284.00,PA
1994,240.00,RR
1994,2595.00,RO
1994,333.00,TO
1994,6220.00,MT
1994,372.00,MA
1994,0.00,AP
1994,370.00,AM
1994,482.00,AC
1993,6220.00,MT
1993,240.00,RR
1993,2595.00,RO
1993,4284.00,PA
1993,333.00,TO
1993,372.00,MA
1993,0.00,AP
1993,370.00,AM
1993,482.00,AC
1992,409.00,TO
1992,281.00,RR
1992,2265.00,RO
1992,3787.00,PA
1992,4674.00,MT
1992,400.00,AC
1992,36.00,AP
1992,799.00,AM
1992,1135.00,MA
1991,440.00,TO
1991,420.00,RR
1991,1110.00,RO
1991,3780.00,PA
1991,2840.00,MT
1991,670.00,MA
1991,380.00,AC
1991,980.00,AM
1991,410.00,AP
1990,580.00,TO
1990,150.00,RR
1990,1670.00,RO
1990,4890.00,PA
1990,4020.00,MT
1990,1100.00,MA
1990,250.00,AP
1990,520.00,AM
1990,550.00,AC
1989,730.00,TO
1989,630.00,RR
1989,1430.00,RO
1989,5750.00,PA
1989,5960.00,MT
1989,1420.00,MA
1989,130.00,AP
1989,1180.00,AM
1989,540.00,AC
1988,1650.00,TO
1988,290.00,RR
1988,2340.00,RO
1988,6990.00,PA
1988,5140.00,MT
1988,2450.00,MA
1988,60.00,AP
1988,1510.00,AM
1988,620.00,AC